  n  |                  title                   | year | rt  | _ | rt_is_matched | t  |                                           gantt_days                                            
 344 | Cruising                                 | 1980 |  51 | * | t             |    |                                     34
 345 | Walker                                   |      |  40 | * | t             |    |                                     34
 346 | DCI 2018: Tour Premiere                  | 2018 |     |   | t             |  3 |                                     34
 347 | Jurassic World Double Feature            | 2018 |     |   | t             |  5 |                                     34
 348 | NT Live: Cat on a Hot Tin Roof           | 2018 |     |   | t             |    |                                     34
 349 | The Unafraid                             |      |     |   | f             |    |                                     34
 350 | Father of the Bride                      | 1950 |  93 | o | t             |    |                                     3435
 351 | One Sings, the Other Doesn't             | 1977 |  78 | o | t             |    |                                     34-----40
 352 | Straight Into a Storm: A New Rock Film A |      |  60 | o | t             |    |                                     34-----40
 353 | The Yellow Birds                         |      |  46 | * | t             |    |                                     34-----40
 354 | China Salesman                           |      |   7 | * | t             |    |                                     34-----40
 355 | Affairs of State                         |      |     |   | t             |    |                                     34-----40
 356 | Half the Picture                         |      | 100 | o | t             |    |                                     34------------47
 357 | Sanky Panky 3                            | 2018 |     |   | t             |    |                                     34-------------------54
 358 | Upgrade                                  | 2018 |  85 | O | t             |  8 |                                     34--------------------55
 359 | Who We Are Now                           | 2018 |  94 | o | t             |    |                                     34-------------------------6060
 360 | Show Dogs                                | 2018 |  18 | * | t             |  7 |                                     34---------------------------------67
 361 | Raazi                                    | 2018 | 100 | o | t             |  2 |                                     34----------------------------------------74
 362 | Life of the Party                        | 2018 |  38 | * | t             |  8 |                                     34-----------------------------------------75
 363 | Breaking In                              | 2018 |  24 | * | t             |  7 |                                     34-----------------------------------------75
